"","X1st","X2nd","X3rd","X4th","X5th","Gender"
"344",6.3,6.48,5.63,6.21,6.39,"Male"
"345",6.89,6.69,5.67,6.07,7.39,"Male"
"346",7,7.41,6.37,6.57,7.79,"Male"
"347",6.07,6.07,5.89,6.54,7.81,"Male"
"348",7.11,7.34,6.85,7.96,8.14,"Male"
"349",9.15,9.21,9.59,9.31,9.46,"Female"
"350",7.78,6.86,7.26,7.82,8.36,"Male"
"351",7.59,7.76,7,8.32,8.21,"Female"
"352",7.11,7.41,7,7.32,8.32,"Male"
"353",6.26,6,6.07,5.36,6.21,"Male"
"354",8.3,7.97,8.33,8.29,8.61,"Male"
"355",6.96,5.72,6.33,7.18,NA,"Male"
"356",6.96,6.24,6.85,7.21,7.71,"Male"
"357",8.22,8.76,7.74,8.46,8.38,"Female"
"358",7.15,6.79,6.75,6.78,6.62,"Male"
"359",7.07,7.66,7.22,7.86,7.31,"Female"
"360",7.52,7.82,7.67,8.21,8.38,"Male"
"361",6.33,6.76,5.7,5.18,5.31,"Male"
"362",7.33,6.62,6.26,6.33,6.81,"Male"
"363",7.89,7.97,7.59,8.25,9.35,"Male"
"364",6.44,6.43,6.52,7.04,6.62,"Male"
"365",6.96,6.41,6.33,5.57,5.35,"Male"
"366",7,6.34,6.07,6.14,7,"Female"
"367",6.26,5.55,6.15,5.04,5.08,"Male"
"368",7.22,6.76,7.48,7.93,7.77,"Male"
"369",6.41,6.48,6.41,6.68,7.08,"Male"
"370",5.96,6.1,6.07,5.36,5.12,"Male"
"371",7.19,7.97,7.3,8.04,8.15,"Male"
"372",7.14,7.79,6.93,7.64,8.65,"Male"
"373",7.19,7.1,6.7,7.36,7.38,"Male"
"374",6.85,6.41,6.19,6.68,6.96,"Male"
"375",8,8.07,7.96,8.46,8.62,"Male"
"376",7.59,7.48,7.41,7.18,7.92,"Male"
"377",6.7,7.34,7.11,7.32,7.35,"Male"
"378",7.59,7.31,7.11,7.68,7.65,"Male"
"379",7.07,6.38,5.3,5.43,4.77,"Male"
"380",6.44,6.48,6.78,6.29,5.81,"Male"
"381",7.19,7,6.74,7.04,7.04,"Male"
"382",6.81,6.38,5.19,5.46,NA,"Female"
"383",6.63,7.03,7,6.75,7.38,"Female"
"384",7.33,7.34,7.22,7.25,7.08,"Male"
"385",7.15,7.79,7.41,NA,7.5,"Female"
"386",7,7.41,7.15,7.04,7.81,"Male"
"387",7.48,7.55,7.67,7.39,8.65,"Female"
"388",7.3,6.41,6.59,7.11,7.38,"Male"
"389",6.3,6.28,5.89,5.71,6.5,"Male"
"390",7.04,7.1,6.81,7,6.92,"Female"
"391",6.7,6.81,6.52,5.39,7,"Male"
"392",8.7,7.83,7.56,8.11,8.07,"Male"
"393",6.81,7.07,5.7,6.29,8.07,"Male"
"394",6.37,5.59,6.33,7.07,7.81,"Female"
"395",6.11,6.55,5.56,6.86,7,"Male"
"396",7.89,8.72,8.19,8.54,9.11,"Male"
"397",7.89,7.97,6.81,8.54,8,"Male"
"398",7.37,5.86,7,7.82,8.21,"Female"
"399",7.48,7.69,7.11,7.93,8.21,"Female"
"400",9.15,8.86,8.34,9.04,9.19,"Male"
"401",7.19,7.45,6.63,7.04,7.79,"Male"
"402",6.85,7.41,6.33,6.39,NA,"Male"
"403",6.44,6.14,6.19,6.82,7.43,"Male"
"404",6.56,6.14,6.33,6.75,7.14,"Female"
"405",8,7.9,7.33,7.47,8.07,"Female"
"406",7.15,6.34,6.56,6.68,6.54,"Female"
"407",7.3,7.07,6.67,6,6.11,"Female"
"408",8.44,7.28,7.96,8,8.29,"Female"
"409",6,5.93,3.96,5.43,6.25,"Male"
"410",5.78,6.28,4.3,6.43,6.75,"Male"
"411",6.37,5.9,5.81,6.04,6.64,"Male"
"412",6.19,6.62,6.3,6.54,7.43,"Male"
"413",6.74,6.72,7.04,7.93,8.32,"Male"
"414",5.52,5.72,6.07,7.11,7.79,"Male"
"415",6.3,6.48,5.63,6.21,6.39,"Male"
"416",6.89,6.69,5.67,6.07,7.39,"Male"
"417",7,7.41,6.37,6.57,7.79,"Male"
"418",6.07,6.07,5.89,6.54,7.81,"Male"
"419",7.11,7.34,6.85,7.96,8.14,"Male"
"420",9.15,9.21,9.59,9.31,9.46,"Female"
"421",7.78,6.86,7.26,7.82,8.36,"Male"
"422",7.59,7.76,7,8.32,8.21,"Female"
"423",7.11,7.41,7,7.32,8.32,"Male"
"424",6.26,6,6.07,5.36,6.21,"Male"
"425",8.3,7.97,8.33,8.29,8.61,"Male"
"426",6.96,5.72,6.33,7.18,NA,"Male"
"427",6.96,6.24,6.85,7.21,7.71,"Male"
"428",8.22,8.76,7.74,8.46,8.38,"Female"
"429",7.15,6.79,6.75,6.78,6.62,"Male"
"430",7.07,7.66,7.22,7.86,7.31,"Female"
"431",7.52,7.82,7.67,8.21,8.38,"Male"
"432",6.33,6.76,5.7,5.18,5.31,"Male"
"433",7.33,6.62,6.26,6.33,6.81,"Male"
"434",7.89,7.97,7.59,8.25,9.35,"Male"
"435",6.44,6.43,6.52,7.04,6.62,"Male"
"436",6.96,6.41,6.33,5.57,5.35,"Male"
"437",7,6.34,6.07,6.14,7,"Female"
"438",6.26,5.55,6.15,5.04,5.08,"Male"
"439",7.22,6.76,7.48,7.93,7.77,"Male"
"440",6.41,6.48,6.41,6.68,7.08,"Male"
"441",5.96,6.1,6.07,5.36,5.12,"Male"
"442",7.19,7.97,7.3,8.04,8.15,"Male"
"443",7.14,7.79,6.93,7.64,8.65,"Male"
"444",7.19,7.1,6.7,7.36,7.38,"Male"
"445",6.85,6.41,6.19,6.68,6.96,"Male"
"446",8,8.07,7.96,8.46,8.62,"Male"
"447",7.59,7.48,7.41,7.18,7.92,"Male"
"448",6.7,7.34,7.11,7.32,7.35,"Male"
"449",7.59,7.31,7.11,7.68,7.65,"Male"
"450",7.07,6.38,5.3,5.43,4.77,"Male"
"451",6.44,6.48,6.78,6.29,5.81,"Male"
"452",7.19,7,6.74,7.04,7.04,"Male"
"453",6.81,6.38,5.19,5.46,NA,"Female"
"454",6.63,7.03,7,6.75,7.38,"Female"
"455",7.33,7.34,7.22,7.25,7.08,"Male"
"456",7.15,7.79,7.41,NA,7.5,"Female"
"457",7,7.41,7.15,7.04,7.81,"Male"
"458",7.48,7.55,7.67,7.39,8.65,"Female"
"459",7.3,6.41,6.59,7.11,7.38,"Male"
"460",6.3,6.28,5.89,5.71,6.5,"Male"
"461",7.04,7.1,6.81,7,6.92,"Female"
"462",6.7,6.81,6.52,5.39,7,"Male"
"463",8.7,7.83,7.56,8.11,8.07,"Male"
"464",6.81,7.07,5.7,6.29,8.07,"Male"
"465",6.37,5.59,6.33,7.07,7.81,"Female"
"466",6.11,6.55,5.56,6.86,7,"Male"
"467",7.89,8.72,8.19,8.54,9.11,"Male"
"468",7.89,7.97,6.81,8.54,8,"Male"
"469",7.37,5.86,7,7.82,8.21,"Female"
"470",7.48,7.69,7.11,7.93,8.21,"Female"
"471",9.15,8.86,8.34,9.04,9.19,"Male"
"472",7.19,7.45,6.63,7.04,7.79,"Male"
"473",6.85,7.41,6.33,6.39,NA,"Male"
"474",6.44,6.14,6.19,6.82,7.43,"Male"
"475",6.56,6.14,6.33,6.75,7.14,"Female"
"476",8,7.9,7.33,7.47,8.07,"Female"
"477",7.15,6.34,6.56,6.68,6.54,"Female"
"478",7.3,7.07,6.67,6,6.11,"Female"
"479",8.44,7.28,7.96,8,8.29,"Female"
"480",6,5.93,3.96,5.43,6.25,"Male"
"481",5.78,6.28,4.3,6.43,6.75,"Male"
"482",6.37,5.9,5.81,6.04,6.64,"Male"
"483",6.19,6.62,6.3,6.54,7.43,"Male"
"484",6.74,6.72,7.04,7.93,8.32,"Male"
"485",5.52,5.72,6.07,7.11,7.79,"Male"
"486",6.3,6.48,5.63,6.21,6.39,"Male"
"487",6.89,6.69,5.67,6.07,7.39,"Male"
"488",7,7.41,6.37,6.57,7.79,"Male"
"489",6.07,6.07,5.89,6.54,7.81,"Male"
"490",7.11,7.34,6.85,7.96,8.14,"Male"
"491",9.15,9.21,9.59,9.31,9.46,"Female"
"492",7.78,6.86,7.26,7.82,8.36,"Male"
"493",7.59,7.76,7,8.32,8.21,"Female"
"494",7.11,7.41,7,7.32,8.32,"Male"
"495",6.26,6,6.07,5.36,6.21,"Male"
"496",8.3,7.97,8.33,8.29,8.61,"Male"
"497",6.96,5.72,6.33,7.18,NA,"Male"
"498",6.96,6.24,6.85,7.21,7.71,"Male"
"499",8.22,8.76,7.74,8.46,8.38,"Female"
"500",7.15,6.79,6.75,6.78,6.62,"Male"
"501",7.07,7.66,7.22,7.86,7.31,"Female"
"502",7.52,7.82,7.67,8.21,8.38,"Male"
"503",6.33,6.76,5.7,5.18,5.31,"Male"
"504",7.33,6.62,6.26,6.33,6.81,"Male"
"505",7.89,7.97,7.59,8.25,9.35,"Male"
"506",6.44,6.43,6.52,7.04,6.62,"Male"
"507",6.96,6.41,6.33,5.57,5.35,"Male"
"508",7,6.34,6.07,6.14,7,"Female"
"509",6.26,5.55,6.15,5.04,5.08,"Male"
"510",7.22,6.76,7.48,7.93,7.77,"Male"
"511",6.41,6.48,6.41,6.68,7.08,"Male"
"512",5.96,6.1,6.07,5.36,5.12,"Male"
"513",7.19,7.97,7.3,8.04,8.15,"Male"
"514",7.14,7.79,6.93,7.64,8.65,"Male"
"515",7.19,7.1,6.7,7.36,7.38,"Male"
"516",6.85,6.41,6.19,6.68,6.96,"Male"
"517",8,8.07,7.96,8.46,8.62,"Male"
"518",7.59,7.48,7.41,7.18,7.92,"Male"
"519",6.7,7.34,7.11,7.32,7.35,"Male"
"520",7.59,7.31,7.11,7.68,7.65,"Male"
"521",7.07,6.38,5.3,5.43,4.77,"Male"
"522",6.44,6.48,6.78,6.29,5.81,"Male"
"523",7.19,7,6.74,7.04,7.04,"Male"
"524",6.81,6.38,5.19,5.46,NA,"Female"
"525",6.63,7.03,7,6.75,7.38,"Female"
"526",7.33,7.34,7.22,7.25,7.08,"Male"
"527",7.15,7.79,7.41,NA,7.5,"Female"
"528",7,7.41,7.15,7.04,7.81,"Male"
"529",7.48,7.55,7.67,7.39,8.65,"Female"
"530",7.3,6.41,6.59,7.11,7.38,"Male"
"531",6.3,6.28,5.89,5.71,6.5,"Male"
"532",7.04,7.1,6.81,7,6.92,"Female"
"533",6.7,6.81,6.52,5.39,7,"Male"
"534",8.7,7.83,7.56,8.11,8.07,"Male"
"535",6.81,7.07,5.7,6.29,8.07,"Male"
"536",6.37,5.59,6.33,7.07,7.81,"Female"
"537",6.11,6.55,5.56,6.86,7,"Male"
"538",7.89,8.72,8.19,8.54,9.11,"Male"
"539",7.89,7.97,6.81,8.54,8,"Male"
"540",7.37,5.86,7,7.82,8.21,"Female"
"541",7.48,7.69,7.11,7.93,8.21,"Female"
"542",9.15,8.86,8.34,9.04,9.19,"Male"
"543",7.19,7.45,6.63,7.04,7.79,"Male"
"544",6.85,7.41,6.33,6.39,NA,"Male"
"545",6.44,6.14,6.19,6.82,7.43,"Male"
"546",6.56,6.14,6.33,6.75,7.14,"Female"
"547",8,7.9,7.33,7.47,8.07,"Female"
"548",7.15,6.34,6.56,6.68,6.54,"Female"
"549",7.3,7.07,6.67,6,6.11,"Female"
"550",8.44,7.28,7.96,8,8.29,"Female"
"551",6,5.93,3.96,5.43,6.25,"Male"
"552",5.78,6.28,4.3,6.43,6.75,"Male"
"553",6.37,5.9,5.81,6.04,6.64,"Male"
"554",6.19,6.62,6.3,6.54,7.43,"Male"
"555",6.74,6.72,7.04,7.93,8.32,"Male"
"556",5.52,5.72,6.07,7.11,7.79,"Male"
"557",6.3,6.48,5.63,6.21,6.39,"Male"
"558",6.89,6.69,5.67,6.07,7.39,"Male"
"559",7,7.41,6.37,6.57,7.79,"Male"
"560",6.07,6.07,5.89,6.54,7.81,"Male"
"561",7.11,7.34,6.85,7.96,8.14,"Male"
"562",9.15,9.21,9.59,9.31,9.46,"Female"
"563",7.78,6.86,7.26,7.82,8.36,"Male"
"564",7.59,7.76,7,8.32,8.21,"Female"
"565",7.11,7.41,7,7.32,8.32,"Male"
"566",6.26,6,6.07,5.36,6.21,"Male"
"567",8.3,7.97,8.33,8.29,8.61,"Male"
"568",6.96,5.72,6.33,7.18,NA,"Male"
"569",6.96,6.24,6.85,7.21,7.71,"Male"
"570",8.22,8.76,7.74,8.46,8.38,"Female"
"571",7.15,6.79,6.75,6.78,6.62,"Male"
"572",7.07,7.66,7.22,7.86,7.31,"Female"
"573",7.52,7.82,7.67,8.21,8.38,"Male"
"574",6.33,6.76,5.7,5.18,5.31,"Male"
"575",7.33,6.62,6.26,6.33,6.81,"Male"
"576",7.89,7.97,7.59,8.25,9.35,"Male"
"577",6.44,6.43,6.52,7.04,6.62,"Male"
"578",6.96,6.41,6.33,5.57,5.35,"Male"
"579",7,6.34,6.07,6.14,7,"Female"
"580",6.26,5.55,6.15,5.04,5.08,"Male"
"581",7.22,6.76,7.48,7.93,7.77,"Male"
"582",6.41,6.48,6.41,6.68,7.08,"Male"
"583",5.96,6.1,6.07,5.36,5.12,"Male"
"584",7.19,7.97,7.3,8.04,8.15,"Male"
"585",7.14,7.79,6.93,7.64,8.65,"Male"
"586",7.19,7.1,6.7,7.36,7.38,"Male"
"587",6.85,6.41,6.19,6.68,6.96,"Male"
"588",8,8.07,7.96,8.46,8.62,"Male"
"589",7.59,7.48,7.41,7.18,7.92,"Male"
"590",6.7,7.34,7.11,7.32,7.35,"Male"
"591",7.59,7.31,7.11,7.68,7.65,"Male"
"592",7.07,6.38,5.3,5.43,4.77,"Male"
"593",6.44,6.48,6.78,6.29,5.81,"Male"
"594",7.19,7,6.74,7.04,7.04,"Male"
"595",6.81,6.38,5.19,5.46,NA,"Female"
"596",6.63,7.03,7,6.75,7.38,"Female"
"597",7.33,7.34,7.22,7.25,7.08,"Male"
"598",7.15,7.79,7.41,NA,7.5,"Female"
"599",7,7.41,7.15,7.04,7.81,"Male"
"600",7.48,7.55,7.67,7.39,8.65,"Female"
"601",7.3,6.41,6.59,7.11,7.38,"Male"
"602",6.3,6.28,5.89,5.71,6.5,"Male"
"603",7.04,7.1,6.81,7,6.92,"Female"
"604",6.7,6.81,6.52,5.39,7,"Male"
"605",8.7,7.83,7.56,8.11,8.07,"Male"
"606",6.81,7.07,5.7,6.29,8.07,"Male"
"607",6.37,5.59,6.33,7.07,7.81,"Female"
"608",6.11,6.55,5.56,6.86,7,"Male"
"609",7.89,8.72,8.19,8.54,9.11,"Male"
"610",7.89,7.97,6.81,8.54,8,"Male"
"611",7.37,5.86,7,7.82,8.21,"Female"
"612",7.48,7.69,7.11,7.93,8.21,"Female"
"613",9.15,8.86,8.34,9.04,9.19,"Male"
"614",7.19,7.45,6.63,7.04,7.79,"Male"
"615",6.85,7.41,6.33,6.39,NA,"Male"
"616",6.44,6.14,6.19,6.82,7.43,"Male"
"617",6.56,6.14,6.33,6.75,7.14,"Female"
"618",8,7.9,7.33,7.47,8.07,"Female"
"619",7.15,6.34,6.56,6.68,6.54,"Female"
"620",7.3,7.07,6.67,6,6.11,"Female"
"621",8.44,7.28,7.96,8,8.29,"Female"
"622",6,5.93,3.96,5.43,6.25,"Male"
"623",5.78,6.28,4.3,6.43,6.75,"Male"
"624",6.37,5.9,5.81,6.04,6.64,"Male"
"625",6.19,6.62,6.3,6.54,7.43,"Male"
"626",6.74,6.72,7.04,7.93,8.32,"Male"
"627",5.52,5.72,6.07,7.11,7.79,"Male"
"628",6.3,6.48,5.63,6.21,6.39,"Male"
"629",6.89,6.69,5.67,6.07,7.39,"Male"
"630",7,7.41,6.37,6.57,7.79,"Male"
"631",6.07,6.07,5.89,6.54,7.81,"Male"
"632",7.11,7.34,6.85,7.96,8.14,"Male"
"633",9.15,9.21,9.59,9.31,9.46,"Female"
"634",7.78,6.86,7.26,7.82,8.36,"Male"
"635",7.59,7.76,7,8.32,8.21,"Female"
"636",7.11,7.41,7,7.32,8.32,"Male"
"637",6.26,6,6.07,5.36,6.21,"Male"
"638",8.3,7.97,8.33,8.29,8.61,"Male"
"639",6.96,5.72,6.33,7.18,NA,"Male"
"640",6.96,6.24,6.85,7.21,7.71,"Male"
"641",8.22,8.76,7.74,8.46,8.38,"Female"
"642",7.15,6.79,6.75,6.78,6.62,"Male"
"643",7.07,7.66,7.22,7.86,7.31,"Female"
"644",7.52,7.82,7.67,8.21,8.38,"Male"
"645",6.33,6.76,5.7,5.18,5.31,"Male"
"646",7.33,6.62,6.26,6.33,6.81,"Male"
"647",7.89,7.97,7.59,8.25,9.35,"Male"
"648",6.44,6.43,6.52,7.04,6.62,"Male"
"649",6.96,6.41,6.33,5.57,5.35,"Male"
"650",7,6.34,6.07,6.14,7,"Female"
"651",6.26,5.55,6.15,5.04,5.08,"Male"
"652",7.22,6.76,7.48,7.93,7.77,"Male"
"653",6.41,6.48,6.41,6.68,7.08,"Male"
"654",5.96,6.1,6.07,5.36,5.12,"Male"
"655",7.19,7.97,7.3,8.04,8.15,"Male"
"656",7.14,7.79,6.93,7.64,8.65,"Male"
"657",7.19,7.1,6.7,7.36,7.38,"Male"
"658",6.85,6.41,6.19,6.68,6.96,"Male"
"659",8,8.07,7.96,8.46,8.62,"Male"
"660",7.59,7.48,7.41,7.18,7.92,"Male"
"661",6.7,7.34,7.11,7.32,7.35,"Male"
"662",7.59,7.31,7.11,7.68,7.65,"Male"
"663",7.07,6.38,5.3,5.43,4.77,"Male"
"664",6.44,6.48,6.78,6.29,5.81,"Male"
"665",7.19,7,6.74,7.04,7.04,"Male"
"666",6.81,6.38,5.19,5.46,NA,"Female"
"667",6.63,7.03,7,6.75,7.38,"Female"
"668",7.33,7.34,7.22,7.25,7.08,"Male"
"669",7.15,7.79,7.41,NA,7.5,"Female"
"670",7,7.41,7.15,7.04,7.81,"Male"
"671",7.48,7.55,7.67,7.39,8.65,"Female"
"672",7.3,6.41,6.59,7.11,7.38,"Male"
"673",6.3,6.28,5.89,5.71,6.5,"Male"
"674",7.04,7.1,6.81,7,6.92,"Female"
"675",6.7,6.81,6.52,5.39,7,"Male"
"676",8.7,7.83,7.56,8.11,8.07,"Male"
"677",6.81,7.07,5.7,6.29,8.07,"Male"
"678",6.37,5.59,6.33,7.07,7.81,"Female"
"679",6.11,6.55,5.56,6.86,7,"Male"
"680",7.89,8.72,8.19,8.54,9.11,"Male"
"681",7.89,7.97,6.81,8.54,8,"Male"
"682",7.37,5.86,7,7.82,8.21,"Female"
"683",7.48,7.69,7.11,7.93,8.21,"Female"
"684",9.15,8.86,8.34,9.04,9.19,"Male"
"685",7.19,7.45,6.63,7.04,7.79,"Male"
"686",6.85,7.41,6.33,6.39,NA,"Male"
